Time (hr:min:sec),Time (s),GSR,Resistance,Conductance (uS),Heart_Rate,HRV,Section,Stressed
09:46:07,3133,374,128405.79710144928,7.787810383747178,74,810.8108108108108,rory_lab_8,2
09:46:08,3134,374,128405.79710144928,7.787810383747178,74,810.8108108108108,rory_lab_8,2
09:46:09,3135,375,129489.0510948905,7.722660653889515,74,810.8108108108108,rory_lab_8,3
09:46:10,3136,375,129489.0510948905,7.722660653889515,74,810.8108108108108,rory_lab_8,3
09:46:11,3137,375,129489.0510948905,7.722660653889515,74,810.8108108108108,rory_lab_8,3
09:46:12,3138,375,129489.0510948905,7.722660653889515,71,845.0704225352113,rory_lab_8,4
09:46:13,3139,375,129489.0510948905,7.722660653889515,71,845.0704225352113,rory_lab_8,4
09:46:14,3140,375,129489.0510948905,7.722660653889515,68,882.3529411764706,rory_lab_8,4
09:46:15,3141,375,129489.0510948905,7.722660653889515,60,1000.0,rory_lab_8,3
09:46:16,3142,375,129489.0510948905,7.722660653889515,60,1000.0,rory_lab_8,2
09:46:17,3143,375,129489.0510948905,7.722660653889515,60,1000.0,rory_lab_8,2
09:46:18,3144,375,129489.0510948905,7.722660653889515,60,1000.0,rory_lab_8,2
09:46:19,3145,375,129489.0510948905,7.722660653889515,60,1000.0,rory_lab_8,2
09:46:21,3146,374,128405.79710144928,7.787810383747178,60,1000.0,rory_lab_8,2
09:46:22,3147,375,129489.0510948905,7.722660653889515,57,1052.6315789473683,rory_lab_8,2
09:46:23,3148,374,128405.79710144928,7.787810383747178,57,1052.6315789473683,rory_lab_8,3
09:46:24,3149,375,129489.0510948905,7.722660653889515,57,1052.6315789473683,rory_lab_8,3
09:46:25,3150,375,129489.0510948905,7.722660653889515,57,1052.6315789473683,rory_lab_8,3
09:46:26,3151,375,129489.0510948905,7.722660653889515,57,1052.6315789473683,rory_lab_8,3
09:46:27,3152,374,128405.79710144928,7.787810383747178,57,1052.6315789473683,rory_lab_8,3
09:46:28,3153,374,128405.79710144928,7.787810383747178,57,1052.6315789473683,rory_lab_8,3
09:46:29,3154,373,127338.12949640288,7.853107344632768,60,1000.0,rory_lab_8,3
09:46:30,3155,373,127338.12949640288,7.853107344632768,60,1000.0,rory_lab_8,3
09:46:31,3156,372,126285.71428571428,7.918552036199096,57,1052.6315789473683,rory_lab_8,3
09:46:32,3157,372,126285.71428571428,7.918552036199096,56,1071.4285714285713,rory_lab_8,3
09:46:33,3158,373,127338.12949640288,7.853107344632768,55,1090.909090909091,rory_lab_8,3
09:46:34,3159,372,126285.71428571428,7.918552036199096,58,1034.4827586206898,rory_lab_8,3
09:46:35,3160,374,128405.79710144928,7.787810383747178,55,1090.909090909091,rory_lab_8,3
09:46:36,3161,372,126285.71428571428,7.918552036199096,54,1111.111111111111,rory_lab_8,3
09:46:37,3162,374,128405.79710144928,7.787810383747178,56,1071.4285714285713,rory_lab_8,3
09:46:38,3163,373,127338.12949640288,7.853107344632768,55,1090.909090909091,rory_lab_8,3
09:46:39,3164,374,128405.79710144928,7.787810383747178,55,1090.909090909091,rory_lab_8,3
09:46:40,3165,372,126285.71428571428,7.918552036199096,56,1071.4285714285713,rory_lab_8,3
09:46:41,3166,374,128405.79710144928,7.787810383747178,58,1034.4827586206898,rory_lab_8,3
09:46:42,3167,374,128405.79710144928,7.787810383747178,55,1090.909090909091,rory_lab_8,3
09:46:43,3168,374,128405.79710144928,7.787810383747178,55,1090.909090909091,rory_lab_8,3
09:46:44,3169,373,127338.12949640288,7.853107344632768,55,1090.909090909091,rory_lab_8,3
09:46:45,3170,374,128405.79710144928,7.787810383747178,58,1034.4827586206898,rory_lab_8,3
09:46:46,3171,374,128405.79710144928,7.787810383747178,58,1034.4827586206898,rory_lab_8,3
09:46:47,3172,374,128405.79710144928,7.787810383747178,58,1034.4827586206898,rory_lab_8,3
09:46:48,3173,374,128405.79710144928,7.787810383747178,58,1034.4827586206898,rory_lab_8,3
09:46:49,3174,373,127338.12949640288,7.853107344632768,57,1052.6315789473683,rory_lab_8,3
09:46:50,3175,372,126285.71428571428,7.918552036199096,78,769.2307692307693,rory_lab_8,3
09:46:51,3176,370,124225.35211267606,8.049886621315194,93,645.1612903225806,rory_lab_8,3
09:46:52,3177,369,123216.78321678322,8.115777525539158,93,645.1612903225806,rory_lab_8,3
09:46:53,3178,371,125248.22695035461,7.984144960362401,93,645.1612903225806,rory_lab_8,3
09:46:54,3179,369,123216.78321678322,8.115777525539158,93,645.1612903225806,rory_lab_8,3
09:46:55,3180,367,121241.37931034483,8.248009101251423,93,645.1612903225806,rory_lab_8,3
09:46:56,3181,364,118378.37837837839,8.447488584474886,93,645.1612903225806,rory_lab_8,3
09:46:57,3182,362,116533.33333333334,8.581235697940503,93,645.1612903225806,rory_lab_8,3
09:46:58,3183,358,112987.01298701299,8.850574712643677,93,645.1612903225806,rory_lab_8,3
09:46:59,3184,353,108805.03144654089,9.190751445086704,93,645.1612903225806,rory_lab_8,3
09:47:00,3185,352,108000.0,9.25925925925926,93,645.1612903225806,rory_lab_8,3
09:47:01,3186,351,107204.96894409937,9.327925840092702,93,645.1612903225806,rory_lab_8,3
09:47:02,3187,351,107204.96894409937,9.327925840092702,95,631.578947368421,rory_lab_8,3
09:47:03,3188,352,108000.0,9.25925925925926,95,631.578947368421,rory_lab_8,3
09:47:05,3189,353,108805.03144654089,9.190751445086704,92,652.1739130434783,rory_lab_8,3
09:47:06,3190,353,108805.03144654089,9.190751445086704,91,659.3406593406594,rory_lab_8,3
09:47:07,3191,355,110445.85987261147,9.054209919261822,91,659.3406593406594,rory_lab_8,3
09:47:08,3192,354,109620.25316455695,9.122401847575059,91,659.3406593406594,rory_lab_8,4
09:47:09,3193,356,111282.05128205128,8.986175115207374,91,659.3406593406594,rory_lab_8,4
09:47:10,3194,355,110445.85987261147,9.054209919261822,89,674.1573033707865,rory_lab_8,4
09:47:11,3195,356,111282.05128205128,8.986175115207374,82,731.7073170731708,rory_lab_8,4
09:47:12,3196,356,111282.05128205128,8.986175115207374,81,740.7407407407408,rory_lab_8,4
09:47:13,3197,357,112129.03225806452,8.918296892980438,81,740.7407407407408,rory_lab_8,4
09:47:14,3198,357,112129.03225806452,8.918296892980438,81,740.7407407407408,rory_lab_8,4
09:47:15,3199,358,112987.01298701299,8.850574712643677,67,895.5223880597015,rory_lab_8,4
09:47:16,3200,359,113856.2091503268,8.783008036739378,64,937.5,rory_lab_8,4
09:47:17,3201,359,113856.2091503268,8.783008036739378,64,937.5,rory_lab_8,4
09:47:18,3202,359,113856.2091503268,8.783008036739378,64,937.5,rory_lab_8,4
09:47:19,3203,358,112987.01298701299,8.850574712643677,64,937.5,rory_lab_8,4
09:47:20,3204,360,114736.84210526315,8.715596330275229,64,937.5,rory_lab_8,4
09:47:21,3205,360,114736.84210526315,8.715596330275229,64,937.5,rory_lab_8,4
09:47:22,3206,361,115629.13907284768,8.648339060710196,64,937.5,rory_lab_8,5
09:47:23,3207,361,115629.13907284768,8.648339060710196,64,937.5,rory_lab_8,5
09:47:24,3208,361,115629.13907284768,8.648339060710196,64,937.5,rory_lab_8,5
09:47:25,3209,362,116533.33333333334,8.581235697940503,74,810.8108108108108,rory_lab_8,5
09:47:26,3210,361,115629.13907284768,8.648339060710196,76,789.4736842105264,rory_lab_8,5
09:47:27,3211,361,115629.13907284768,8.648339060710196,75,800.0,rory_lab_8,5
09:47:28,3212,360,114736.84210526315,8.715596330275229,75,800.0,rory_lab_8,4
09:47:29,3213,360,114736.84210526315,8.715596330275229,75,800.0,rory_lab_8,4
09:47:30,3214,361,115629.13907284768,8.648339060710196,75,800.0,rory_lab_8,4
09:47:31,3215,359,113856.2091503268,8.783008036739378,75,800.0,rory_lab_8,4
09:47:32,3216,360,114736.84210526315,8.715596330275229,75,800.0,rory_lab_8,4
09:47:33,3217,360,114736.84210526315,8.715596330275229,75,800.0,rory_lab_8,4
09:47:34,3218,356,111282.05128205128,8.986175115207374,75,800.0,rory_lab_8,4
09:47:35,3219,360,114736.84210526315,8.715596330275229,75,800.0,rory_lab_8,4
09:47:36,3220,360,114736.84210526315,8.715596330275229,75,800.0,rory_lab_8,6
09:47:37,3221,360,114736.84210526315,8.715596330275229,75,800.0,rory_lab_8,6
09:47:38,3222,361,115629.13907284768,8.648339060710196,75,800.0,rory_lab_8,4
09:47:39,3223,360,114736.84210526315,8.715596330275229,75,800.0,rory_lab_8,2
09:47:40,3224,360,114736.84210526315,8.715596330275229,75,800.0,rory_lab_8,2
09:47:41,3225,361,115629.13907284768,8.648339060710196,75,800.0,rory_lab_8,2
09:47:42,3226,361,115629.13907284768,8.648339060710196,75,800.0,rory_lab_8,2
09:47:43,3227,361,115629.13907284768,8.648339060710196,75,800.0,rory_lab_8,2
09:47:44,3228,361,115629.13907284768,8.648339060710196,75,800.0,rory_lab_8,2
09:47:46,3229,362,116533.33333333334,8.581235697940503,75,800.0,rory_lab_8,2
09:47:47,3230,362,116533.33333333334,8.581235697940503,75,800.0,rory_lab_8,2
09:47:48,3231,363,117449.6644295302,8.514285714285714,73,821.917808219178,rory_lab_8,3
09:47:49,3232,363,117449.6644295302,8.514285714285714,72,833.3333333333334,rory_lab_8,2
09:47:50,3233,363,117449.6644295302,8.514285714285714,72,833.3333333333334,rory_lab_8,2
09:47:51,3234,362,116533.33333333334,8.581235697940503,72,833.3333333333334,rory_lab_8,3
09:47:52,3235,363,117449.6644295302,8.514285714285714,72,833.3333333333334,rory_lab_8,3
09:47:53,3236,363,117449.6644295302,8.514285714285714,72,833.3333333333334,rory_lab_8,4
09:47:54,3237,363,117449.6644295302,8.514285714285714,72,833.3333333333334,rory_lab_8,4
09:47:55,3238,363,117449.6644295302,8.514285714285714,72,833.3333333333334,rory_lab_8,4
09:47:56,3239,362,116533.33333333334,8.581235697940503,72,833.3333333333334,rory_lab_8,4
09:47:57,3240,364,118378.37837837839,8.447488584474886,76,789.4736842105264,rory_lab_8,4
09:47:58,3241,364,118378.37837837839,8.447488584474886,76,789.4736842105264,rory_lab_8,4
09:47:59,3242,364,118378.37837837839,8.447488584474886,67,895.5223880597015,rory_lab_8,4
09:48:00,3243,364,118378.37837837839,8.447488584474886,67,895.5223880597015,rory_lab_8,4
09:48:01,3244,364,118378.37837837839,8.447488584474886,67,895.5223880597015,rory_lab_8,4
09:48:02,3245,364,118378.37837837839,8.447488584474886,67,895.5223880597015,rory_lab_8,4
09:48:03,3246,364,118378.37837837839,8.447488584474886,67,895.5223880597015,rory_lab_8,2
09:48:04,3247,364,118378.37837837839,8.447488584474886,67,895.5223880597015,rory_lab_8,2
09:48:05,3248,363,117449.6644295302,8.514285714285714,67,895.5223880597015,rory_lab_8,4
09:48:06,3249,363,117449.6644295302,8.514285714285714,67,895.5223880597015,rory_lab_8,4
09:48:07,3250,362,116533.33333333334,8.581235697940503,67,895.5223880597015,rory_lab_8,2
09:48:08,3251,358,112987.01298701299,8.850574712643677,67,895.5223880597015,rory_lab_8,2
09:48:09,3252,355,110445.85987261147,9.054209919261822,67,895.5223880597015,rory_lab_8,2
09:48:10,3253,349,105644.1717791411,9.465737514518002,67,895.5223880597015,rory_lab_8,2
