Time (hr:min:sec),Time (s),Serial data,Resistance
9:15:50,2750,296,74814.81481
9:15:51,2751,297,75255.81395
9:15:52,2752,296,74814.81481
9:15:53,2753,296,74814.81481
9:15:54,2754,296,74814.81481
9:15:55,2755,297,75255.81395
9:15:56,2756,298,75700.93458
9:15:57,2757,297,75255.81395
9:15:58,2758,296,74814.81481
9:15:59,2759,294,73944.95413
9:16:00,2760,293,73515.98174
9:16:01,2761,291,72669.68326
9:16:02,2762,291,72669.68326
9:16:03,2763,290,72252.25225
9:16:04,2764,289,71838.56502
9:16:05,2765,290,72252.25225
9:16:06,2766,289,71838.56502
9:16:07,2767,290,72252.25225
9:16:08,2768,289,71838.56502
9:16:09,2769,290,72252.25225
9:16:10,2770,290,72252.25225
9:16:11,2771,290,72252.25225
9:16:12,2772,290,72252.25225
9:16:13,2773,290,72252.25225
9:16:14,2774,289,71838.56502
9:16:15,2775,289,71838.56502
9:16:16,2776,289,71838.56502
9:16:17,2777,289,71838.56502
9:16:18,2778,289,71838.56502
9:16:19,2779,288,71428.57143
9:16:20,2780,287,71022.22222
9:16:21,2781,288,71428.57143
9:16:22,2782,287,71022.22222
9:16:23,2783,287,71022.22222
9:16:24,2784,288,71428.57143
9:16:25,2785,288,71428.57143
9:16:26,2786,288,71428.57143
9:16:27,2787,285,70220.26432
9:16:28,2788,285,70220.26432
9:16:29,2789,285,70220.26432
9:16:30,2790,285,70220.26432
9:16:31,2791,284,69824.5614
9:16:32,2792,285,70220.26432
9:16:33,2793,283,69432.31441
9:16:34,2794,285,70220.26432
9:16:35,2795,285,70220.26432
9:16:36,2796,284,69824.5614
9:16:37,2797,285,70220.26432
9:16:38,2798,285,70220.26432
9:16:39,2799,285,70220.26432
9:16:40,2800,285,70220.26432
9:16:41,2801,287,71022.22222
9:16:42,2802,287,71022.22222
9:16:43,2803,286,70619.46903
9:16:44,2804,287,71022.22222
9:16:45,2805,289,71838.56502
9:16:46,2806,291,72669.68326
9:16:47,2807,289,71838.56502
9:16:48,2808,288,71428.57143
9:16:49,2809,288,71428.57143
9:16:50,2810,288,71428.57143
9:16:51,2811,287,71022.22222
9:16:52,2812,287,71022.22222
9:16:53,2813,287,71022.22222
9:16:54,2814,286,70619.46903
9:16:55,2815,287,71022.22222
9:16:56,2816,287,71022.22222
9:16:57,2817,286,70619.46903
9:16:58,2818,286,70619.46903
9:16:59,2819,286,70619.46903
9:17:00,2820,285,70220.26432
9:17:01,2821,286,70619.46903
9:17:02,2822,286,70619.46903
9:17:03,2823,287,71022.22222
9:17:04,2824,286,70619.46903
9:17:05,2825,287,71022.22222
9:17:06,2826,286,70619.46903
9:17:07,2827,287,71022.22222
9:17:08,2828,287,71022.22222
9:17:09,2829,288,71428.57143
9:17:10,2830,288,71428.57143
9:17:11,2831,288,71428.57143
9:17:12,2832,289,71838.56502
9:17:13,2833,289,71838.56502
9:17:14,2834,288,71428.57143
9:17:15,2835,288,71428.57143
9:17:16,2836,289,71838.56502
9:17:17,2837,289,71838.56502
9:17:18,2838,290,72252.25225
9:17:19,2839,289,71838.56502
9:17:20,2840,290,72252.25225
9:17:21,2841,289,71838.56502
9:17:22,2842,289,71838.56502
9:17:23,2843,289,71838.56502
9:17:24,2844,289,71838.56502
9:17:25,2845,289,71838.56502
9:17:26,2846,288,71428.57143
9:17:27,2847,288,71428.57143
9:17:28,2848,287,71022.22222
9:17:29,2849,287,71022.22222
9:17:30,2850,288,71428.57143
9:17:31,2851,289,71838.56502
9:17:32,2852,288,71428.57143
9:17:33,2853,291,72669.68326
9:17:34,2854,297,75255.81395
9:17:35,2855,297,75255.81395
9:17:36,2856,298,75700.93458
9:17:37,2857,297,75255.81395
